"sample","mouse","treatment","timepoint","aro_term","amr_gene_family","drug_class","resistance_mechanism","tpm"
"amd787","787","metro+doxil","after","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",119377.84596403
"amd787","787","metro+doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",252611.557770546
"amd787","787","metro+doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",570828.160510822
"bc351","351","control","before","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",134119.122897516
"bc351","351","control","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",747003.258419448
"bc351","351","control","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",87911.314642212
"bc351","351","control","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",30966.3040408238
"bc352","352","control","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",28292.3026500004
"bc352","352","control","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",791430.754712286
"bc352","352","control","before","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",152446.705343899
"bc352","352","control","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",27830.2372938145
"bc353","353","control","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",15167.2508669676
"bc353","353","control","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",810173.995246118
"bc353","353","control","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",117746.160461772
"bc353","353","control","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",56912.5934251423
"bc354","354","control","before","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",11194.7775197229
"bc354","354","control","before","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",873247.089225409
"bc354","354","control","before","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",89988.931332671
"bc354","354","control","before","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",25569.2019221975
